request: 15, response: 1307674368000, IP: 127.0.0.1, Port: 46980
request: 13, response: 6227020800, IP: 127.0.0.1, Port: 46978
request: 10, response: 3628800, IP: 127.0.0.1, Port: 46990
request: 5, response: 120, IP: 127.0.0.1, Port: 46956
request: 4, response: 24, IP: 127.0.0.1, Port: 47002
request: 15, response: 1307674368000, IP: 127.0.0.1, Port: 47024
request: 11, response: 39916800, IP: 127.0.0.1, Port: 47030
request: 6, response: 720, IP: 127.0.0.1, Port: 46956
request: 5, response: 120, IP: 127.0.0.1, Port: 47002
request: 16, response: 20922789888000, IP: 127.0.0.1, Port: 47024
request: 12, response: 479001600, IP: 127.0.0.1, Port: 47030
request: 17, response: 355687428096000, IP: 127.0.0.1, Port: 47024
request: 15, response: 1307674368000, IP: 127.0.0.1, Port: 47014
request: 18, response: 6402373705728000, IP: 127.0.0.1, Port: 46966
request: 16, response: 20922789888000, IP: 127.0.0.1, Port: 46980
request: 11, response: 39916800, IP: 127.0.0.1, Port: 46982
request: 16, response: 20922789888000, IP: 127.0.0.1, Port: 47014
request: 14, response: 87178291200, IP: 127.0.0.1, Port: 46978
request: 17, response: 355687428096000, IP: 127.0.0.1, Port: 47014
request: 11, response: 39916800, IP: 127.0.0.1, Port: 46990
request: 19, response: 121645100408832000, IP: 127.0.0.1, Port: 46966
request: 15, response: 1307674368000, IP: 127.0.0.1, Port: 46978
request: 12, response: 479001600, IP: 127.0.0.1, Port: 46990
request: 20, response: 2432902008176640000, IP: 127.0.0.1, Port: 46966
request: 7, response: 5040, IP: 127.0.0.1, Port: 46956
request: 6, response: 720, IP: 127.0.0.1, Port: 47002
request: 16, response: 20922789888000, IP: 127.0.0.1, Port: 46978
request: 17, response: 355687428096000, IP: 127.0.0.1, Port: 46978
request: 13, response: 6227020800, IP: 127.0.0.1, Port: 47030
request: 18, response: 6402373705728000, IP: 127.0.0.1, Port: 47024
request: 14, response: 87178291200, IP: 127.0.0.1, Port: 47030
request: 18, response: 6402373705728000, IP: 127.0.0.1, Port: 46978
request: 13, response: 6227020800, IP: 127.0.0.1, Port: 46990
request: 19, response: 121645100408832000, IP: 127.0.0.1, Port: 46978
request: 14, response: 87178291200, IP: 127.0.0.1, Port: 46990
request: 20, response: 2432902008176640000, IP: 127.0.0.1, Port: 46978
request: 19, response: 121645100408832000, IP: 127.0.0.1, Port: 47024
request: 20, response: 2432902008176640000, IP: 127.0.0.1, Port: 47024
request: 15, response: 1307674368000, IP: 127.0.0.1, Port: 47030
request: 18, response: 6402373705728000, IP: 127.0.0.1, Port: 47014
request: 16, response: 20922789888000, IP: 127.0.0.1, Port: 47030
request: 17, response: 355687428096000, IP: 127.0.0.1, Port: 47030
request: 15, response: 1307674368000, IP: 127.0.0.1, Port: 46990
request: 18, response: 6402373705728000, IP: 127.0.0.1, Port: 47030
request: 16, response: 20922789888000, IP: 127.0.0.1, Port: 46990
request: 19, response: 121645100408832000, IP: 127.0.0.1, Port: 47030
request: 19, response: 121645100408832000, IP: 127.0.0.1, Port: 47014
request: 8, response: 40320, IP: 127.0.0.1, Port: 46956
request: 9, response: 362880, IP: 127.0.0.1, Port: 46956
request: 7, response: 5040, IP: 127.0.0.1, Port: 47002
request: 20, response: 2432902008176640000, IP: 127.0.0.1, Port: 47014
request: 10, response: 3628800, IP: 127.0.0.1, Port: 46956
request: 17, response: 355687428096000, IP: 127.0.0.1, Port: 46980
request: 8, response: 40320, IP: 127.0.0.1, Port: 47002
request: 12, response: 479001600, IP: 127.0.0.1, Port: 46982
request: 11, response: 39916800, IP: 127.0.0.1, Port: 46956
request: 9, response: 362880, IP: 127.0.0.1, Port: 47002
request: 12, response: 479001600, IP: 127.0.0.1, Port: 46956
request: 20, response: 2432902008176640000, IP: 127.0.0.1, Port: 47030
request: 13, response: 6227020800, IP: 127.0.0.1, Port: 46956
request: 18, response: 6402373705728000, IP: 127.0.0.1, Port: 46980
request: 10, response: 3628800, IP: 127.0.0.1, Port: 47002
request: 14, response: 87178291200, IP: 127.0.0.1, Port: 46956
request: 11, response: 39916800, IP: 127.0.0.1, Port: 47002
request: 15, response: 1307674368000, IP: 127.0.0.1, Port: 46956
